NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
PARQUE NATURAL MUNICIPAL VALE DO ESPERANÇA,Parque,PI,municipal,"2017",Decreto nº 69/2017 de 28/11/2017,18/09/2018,0805.51.3616,"Secretaria Municipal de Agricultura, Pecuária e Meio Ambiente de Terra Nova do Norte - MT"
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS COPAIBEIRAS,Reserva Particular do Patrimônio Natural,US,federal,"2010",Portaria nº 51 de 13/07/2010,26/08/2011,0000.00.2228,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NACIONAL DE CAPARAO,Parque,PI,federal,"1961",Decreto nº 50646 de 24/05/1961,27/01/2012,0000.00.0160,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAçãO ECOLóGICA MUNICIPAL ILHA DO LAMEIRãO,Estação Ecológica,PI,municipal,"1986",Lei ordinária nº 3326 de 30/05/1986,20/07/2012,0530.32.2647,Secretaria Municipal de Meio Ambiente da Prefeitura Municipal de Vitória - ES
ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS,Estação Ecológica,PI,federal,"1982",Decreto nº 87222 de 31/05/1982,02/04/2018,0000.00.0075,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MONTE ALEGRE 1B,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Portaria nº 196 de 09/02/2011,07/12/2011,0000.33.2307,Instituto Estadual do Ambiente do Rio de Janeiro
MONUMENTO NATURAL CANYONS E CORREDEIRAS DO RIO SONO,Monumento Natural,PI,municipal,"2012",Decreto nº 034 de 20/08/2012,23/11/2012,2015.17.2792,Prefeitura Municipal de São Félix do Tocantins - TO
PARQUE NACIONAL DO ALTO CARIRI,Parque,PI,federal,"2010",Decreto nº S/N de 14/06/2010,16/07/2010,0000.00.1910,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NATURAL MUNICIPAL DE TABUAZEIRO,Parque,PI,municipal,"1995",Decreto nº 9753 de 02/12/1995,20/07/2012,0530.32.2645,Secretaria Municipal de Meio Ambiente da Prefeitura Municipal de Vitória - ES
ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS,Estação Ecológica,PI,estadual,"1990",Decreto nº 4584 de 28/03/1990,11/02/2016,0000.11.0768,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
ESTAçãO ECOLóGICA DE ASSIS,Estação Ecológica,PI,estadual,"1992",Decreto nº 35.697 de 22/09/1992,10/10/2017,0000.35.2935,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP
PARQUE NACIONAL DAS SEMPRE VIVAS,Parque,PI,federal,"2002",Decreto nº S/N de 16/12/2002,02/04/2018,0000.00.0157,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.216 de 15/06/1993,19/07/2012,0000.29.0311,Secretaria do Meio Ambiente da Bahia
