NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTO FRANCO,Reserva Particular do Patrimônio Natural,US,federal,"2010",Portaria nº 73 de 31/08/2010,26/08/2011,0000.00.2155,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DA SERRA NEGRA,Reserva Particular do Patrimônio Natural,US,federal,"2004",Portaria nº 37 de 11/03/2004,26/08/2011,0000.00.1192,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA BIOLÓGICA BOM JESUS,Reserva Biológica,PI,federal,"2012",Decreto nº S/N de 06/06/2012,22/06/2012,0000.00.2634,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLÍVIO DALEPRANE,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 15-R de 25/04/2013,12/02/2016,0000.32.3263,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
PARQUE ESTADUAL SERRA VERDE,Parque,PI,estadual,"2007",Decreto nº s/nº de 13/12/2007,03/09/2009,0000.31.1781,Instituto Estadual de Florestas de Minas Gerais
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PIRANGY,Reserva Particular do Patrimônio Natural,US,federal,"2012",Portaria nº 135 de 18/12/2012,01/08/2014,0000.00.3092,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA DOS CAETETUS,Estação Ecológica,PI,estadual,"1976",Decreto nº 8.346 de 10/08/1976,30/01/2018,0000.35.0857,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE NATURAL MUNICIPAL CLAUDINO FRANCIO,Parque,PI,municipal,"2018",Decreto nº 123 de 17/09/2018,20/09/2018,0792.51.3775,Secretaria de Agricultura e Meio Ambiente de Sorriso - MT
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,Estação Ecológica,PI,federal,"1986",Decreto nº 92964 de 21/07/1986,27/09/2007,0000.00.0071,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL SERRA DA CANDONGA,Parque,PI,estadual,"1998",Decreto nº 40170 de 18/12/1998,22/10/2012,0000.31.0410,Instituto Estadual de Florestas de Minas Gerais
PARQUE ESTADUAL DA ILHA DO MEL,Parque,PI,estadual,"2002",Decreto nº 5.506 de 22/03/2002,17/03/2016,0000.41.0529,Instituto Ambiental do Paraná
RESERVA EXTRATIVISTA ARIÓCA PRUANÃ,Reserva Extrativista,US,federal,"2005",Decreto nº S/N de 17/11/2005,11/02/2016,0000.00.0273,Instituto Chico Mendes de Conservação da Biodiversidade
MONUMENTO NATURAL ESTADUAL DA PEDRA GRANDE,Monumento Natural,PI,estadual,"2010",Decreto nº 55.662 de 31/03/2010,23/09/2015,0000.35.1967,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RPPN POUSADA CAMPOS DA BOCAINA,Reserva Particular do Patrimônio Natural,US,estadual,"2010",Resolução nº 125 de 29/12/2010,06/10/2011,0000.35.2325,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE ESTADUAL CARLOS BOTELHO,Parque,PI,estadual,"1982",Decreto nº 19.499 de 11/09/1982,16/02/2018,0000.35.0810,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE ESTADUAL DA SERRA DOS MONTES ALTOS,Parque,PI,estadual,"2010",Decreto nº 12.486 de 30/11/2010,23/07/2012,0000.29.2026,Secretaria do Meio Ambiente da Bahia
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO FUNDO,Reserva Particular do Patrimônio Natural,US,estadual,"2012",Portaria nº 10 de 17/05/2012,04/11/2013,0000.32.2918,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERRINHA,Reserva Particular do Patrimônio Natural,US,federal,"2001",Portaria nº 154 de 25/10/2001,26/08/2011,0000.00.1073,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMA LUNA,Reserva Particular do Patrimônio Natural,US,federal,"2001",Portaria nº 100 de 04/09/2001,26/08/2011,0000.00.1085,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL REMY LUIZ ALVES,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Portaria nº 16-R de 14/07/2011,23/11/2011,0000.32.2362,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.218 de 15/06/1993,23/07/2012,0000.29.0306,Secretaria do Meio Ambiente da Bahia
RPPN MATO GROSSO,Reserva Particular do Patrimônio Natural,US,federal,"2017",Portaria nº 546 de 28/08/2017,09/05/2018,0000.00.3666,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NATURAL MUNICIPAL DE GRUMARI,Parque,PI,municipal,"2001",Decreto nº 20149 de 02/07/2001,05/05/2017,0455.33.1827,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
RESERVA EXTRATIVISTA RIO IRIRI,Reserva Extrativista,US,federal,"2006",Decreto nº S/N de 06/06/2006,04/02/2016,0000.00.0280,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO CANTASSURí,Reserva Particular do Patrimônio Natural,US,estadual,"2014",Portaria nº 8875 de 02/12/2014,05/04/2016,0000.29.3206,Secretaria do Meio Ambiente da Bahia
AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA,Área de Relevante Interesse Ecológico,US,municipal,"2011",Lei ordinária nº 2472 de 17/01/2011,06/05/2011,0080.15.1960,Secretaria Municipal de Meio Ambiente de Ananindeua - PA
RESERVA BIOLÓGICA RIO OURO PRETO,Reserva Biológica,PI,estadual,"1990",Decreto nº 4580 de 29/03/1990,29/12/2017,0000.11.0767,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO,Parque,PI,estadual,"1993",Lei complementar nº 11.878 de 06/01/1993,05/08/2009,0000.52.0899,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
ESTAÇÃO ECOLÓGICA VALINHOS,Estação Ecológica,PI,estadual,"1966",Decreto nº 45.967-D de 29/01/1966,29/09/2017,0000.35.0863,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE ESTADUAL VERDE GRANDE,Parque,PI,estadual,"1998",Decreto nº 39953 de 09/10/1998,21/08/2009,0000.31.0397,Instituto Estadual de Florestas de Minas Gerais
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SERRA DO CARAMANDU,Reserva Particular do Patrimônio Natural,US,federal,"2008",Portaria nº 21 de 06/05/2008,26/08/2011,0000.00.2188,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DO CARIRI,Área de Proteção Ambiental,US,estadual,"2004",Decreto nº 25083 de 08/06/2004,30/08/2012,0000.25.0902,Superintendência de Administração do Meio Ambiente da Paraíba
PARQUE NATURAL MUNICIPAL DE NAVIRAí,Parque,PI,municipal,"2009",Decreto nº 051/2009 de 20/03/2009,07/02/2018,0570.50.3619,Prefeitura Municipal de Naviraí - MS
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOSSEGO,Reserva Particular do Patrimônio Natural,US,federal,"2008",Portaria nº 86 de 05/11/2008,26/08/2011,0000.00.2233,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL CABECEIRA DA LAGOA,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Resolução nº 14 de 14/07/2011,17/07/2012,0000.50.2066,Instituto de Meio Ambiente do Mato Grosso do Sul
ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE,Área de Proteção Ambiental,US,estadual,"2003",Decreto nº 8.553 de 06/06/2003,19/07/2012,0000.29.0302,Secretaria do Meio Ambiente da Bahia
PARQUE ESTADUAL SERRA DO INTENDENTE,Parque,PI,estadual,"2007",Decreto nº s/n de 29/03/2007,29/08/2012,0000.31.1762,Instituto Estadual de Florestas de Minas Gerais
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DO SENHOR,Reserva Particular do Patrimônio Natural,US,federal,"2012",Portaria nº 114 de 25/10/2012,01/08/2014,0000.00.3076,Instituto Chico Mendes de Conservação da Biodiversidade
FLORESTA NACIONAL DE NÍSIA FLORESTA,Floresta,US,federal,"2001",Decreto nº S/N de 27/09/2001,27/04/2011,0000.00.0100,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL DA SERRA DOURADA,Parque,PI,estadual,"2003",Decreto nº 5.768 de 10/06/2003,31/03/2014,0000.52.1745,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL SÍTIO PALMEIRAS,Reserva Particular do Patrimônio Natural,US,federal,"2008",Portaria nº 46 de 24/07/2008,26/08/2011,0000.00.2185,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS,Estação Ecológica,PI,estadual,"1968",Decreto nº 771 de 13/08/1968,18/08/2017,0000.53.1634,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
FLORESTA ESTADUAL DE IRIRI,Floresta,US,estadual,"2006",Decreto nº 2606 de 07/12/2006,28/12/2007,0000.15.1036,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
ÁREA DE PROTEÇÃO AMBIENTAL DOS PIRENEUS,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 5.174 de 22/02/2000,06/08/2009,0000.52.1750,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ITAMARANDIBA,Reserva Particular do Patrimônio Natural,US,federal,"2010",Portaria nº 76 de 31/08/2010,26/08/2011,0000.00.2123,Instituto Chico Mendes de Conservação da Biodiversidade
"APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí",Área de Proteção Ambiental,US,estadual,"1983",Decreto nº 20960 de 08/06/1983,13/07/2016,0000.35.1700,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
REFUGIO DE VIDA SILVESTRE DA VENTANIA,Refúgio de Vida Silvestre,PI,municipal,"2010",Decreto nº 0261 de 15/12/2010,16/05/2018,0300.33.1945,Secretaria Municipal de Meio Ambiente de Miracema - RJ
ÁREA DE PROTEçãO AMBIENTAL SURUí,Área de Proteção Ambiental,US,municipal,"2007",Decreto nº 2300/2007 de 01/06/2007,21/12/2012,0250.33.2801,Secretaria Municipal de Turismo e Meio Ambiente de Magé - RJ
MONUMENTO NATURAL MUNICIPAL DA PEDRA DE INOÃ,Monumento Natural,PI,municipal,"2011",Portaria nº 2369 de 30/05/2011,10/04/2018,0270.33.3502,Subsecretaria de Meio Ambiente de Maricá - RJ
PARQUE NACIONAL DA SERRA DAS LONTRAS,Parque,PI,federal,"2010",Decreto nº S/N de 14/06/2010,16/07/2010,0000.00.1909,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL ALVORADA DO ITAVERÁ,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Portaria nº 205 de 25/03/2011,07/08/2012,0000.33.2639,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL QUEBRA CARRO,Reserva Particular do Patrimônio Natural,US,estadual,"2017",Portaria nº 31/2017 de 20/10/2017,03/08/2018,0000.27.3721,Instituto do Meio Ambiente de Alagoas
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESPERANÇA,Reserva Particular do Patrimônio Natural,US,federal,"2010",Portaria nº 74 de 31/08/2010,26/08/2011,0000.00.2100,Instituto Chico Mendes de Conservação da Biodiversidade
APA CAMPOS DO JORDÃO,Área de Proteção Ambiental,US,estadual,"1984",Lei ordinária nº 4105 de 26/06/1984,18/10/2017,0000.35.1698,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ,Área de Proteção Ambiental,US,federal,e 2016 de 11/05/2016,Decreto nº 11 de maio de 2016 de 11/05/2016,18/05/2016,0000.00.3407,Instituto Chico Mendes de Conservação da Biodiversidade
MONUMENTO NATURAL DOS PONTÕES CAPIXABAS,Monumento Natural,PI,federal,"2002",Decreto nº S/N de 19/12/2002,29/11/2007,0000.00.0181,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PONTE DE PEDRA,Reserva Particular do Patrimônio Natural,US,estadual,"2004",Deliberação nº 015 de 08/08/2004,26/09/2016,0000.50.2753,Instituto de Meio Ambiente do Mato Grosso do Sul
"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SÃO SALVADOR DO TOCANTINS, PARANÃ E PALMEIRÓPOLIS",Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 1.559 de 06/09/2002,23/07/2007,0000.17.1492,Instituto Natureza do Tocantins
MONUMENTO NATURAL ESTADUAL PETER LUND,Monumento Natural,PI,estadual,"2005",Decreto nº 44120 de 29/09/2005,21/09/2011,0000.31.0897,Instituto Estadual de Florestas de Minas Gerais
APA DO MORRO DO SILVéRIO,Área de Proteção Ambiental,US,municipal,"1999",Lei ordinária nº 2836 de 14/07/1999,15/03/2011,0455.33.1766,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DAS PEDRAS BONITAS,Reserva Particular do Patrimônio Natural,US,federal,"2005",Portaria nº 19 de 12/04/2005,26/08/2011,0000.00.1346,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO VERDE,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 2.375 de 31/07/2000,18/03/2016,0000.41.0506,Instituto Ambiental do Paraná
RESERVA EXTRATIVISTA SERINGUEIRA,Reserva Extrativista,US,estadual,"1995",Decreto nº 7108 de 08/09/1995,01/03/2012,0000.11.0756,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
PARQUE ESTADUAL DO GUARTELÁ,Parque,PI,estadual,"1996",Decreto nº 2.329 de 24/09/1996,17/03/2016,0000.41.0549,Instituto Ambiental do Paraná
RESERVA PARTICULAR DO PATRIMôNIO NATURAL BOA VISTA,Reserva Particular do Patrimônio Natural,US,estadual,"2018",Portaria nº 126 de 19/09/2018,02/10/2018,0000.43.3776,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA I,Reserva Particular do Patrimônio Natural,US,federal,"2008",Portaria nº 96 de 15/12/2008,26/08/2011,0000.00.2207,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA LAJINHA,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 002-R de 31/03/2016,11/11/2016,0000.32.3454,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RPPN SãO ELIAS,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Resolução nº 43 de 04/05/2016,12/09/2016,0000.35.3435,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE NATURAL MUNICIPAL DA RESTINGA DE CARAPEBUS,Parque,PI,municipal,"2018",Decreto nº 2.229/2017 de 15/01/2018,01/03/2018,0093.33.3621,Secretaria Municipal de Meio Ambiente de Carapebus - RJ
PARQUE ESTADUAL DO PANTANAL DO RIO NEGRO,Parque,PI,estadual,"2000",Decreto nº 9.941 de 06/06/2000,08/03/2017,0000.50.0423,Instituto de Meio Ambiente do Mato Grosso do Sul
RESERVA PARTICULAR DO PATRIMôNIO NATURAL SAINT MICHEL 2,Reserva Particular do Patrimônio Natural,US,estadual,"2017",Portaria nº 16/2017 de 31/05/2017,16/11/2017,0000.27.3580,Instituto do Meio Ambiente de Alagoas
ÁREA DE PROTEÇÃO AMBIENTAL DO PARQUE MUNICIPAL ECOLÓGICO DE MARAPENDI,Área de Proteção Ambiental,US,municipal,"1991",Decreto nº 10368 de 16/08/1991,05/05/2017,0455.33.1788,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ARIE DE SãO SEBASTIãO,Área de Relevante Interesse Ecológico,US,estadual,"2008",Decreto nº 53.525 de 09/10/2008,22/09/2015,0000.35.1722,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
PARQUE ESTADUAL GRÃO MOGOL,Parque,PI,estadual,"1998",Decreto nº 39.906 de 23/09/1998,21/08/2009,0000.31.0387,Instituto Estadual de Florestas de Minas Gerais
RESERVA BIOLÓGICA ATOL DAS ROCAS,Reserva Biológica,PI,federal,"1979",Decreto nº 83549 de 05/06/1979,27/09/2007,0000.00.0203,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARAGATO,Reserva Particular do Patrimônio Natural,US,federal,"2007",Portaria nº 14 de 15/10/2007,26/08/2011,0000.00.2181,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL PAULO CÉSAR VINHA,Parque,PI,estadual,"1990",Decreto nº 2993-N de 06/06/1990,16/08/2013,0000.32.0332,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELAS ARTES,Reserva Particular do Patrimônio Natural,US,estadual,"2009",Portaria nº 48 de 05/06/2009,28/04/2011,0000.29.2029,Secretaria do Meio Ambiente da Bahia
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TAIPA RIO DO COURO,Reserva Particular do Patrimônio Natural,US,federal,"2010",Portaria nº 56 de 27/07/2010,26/08/2011,0000.00.2218,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL DA SERRA DO CABRAL,Parque,PI,estadual,"2005",Decreto nº 44121 de 30/09/2005,21/08/2009,0000.31.0890,Instituto Estadual de Florestas de Minas Gerais
FLORESTA ESTADUAL DO UAIMII,Floresta,US,estadual,"2003",Decreto nº s/nº de 22/10/2003,29/08/2013,0000.31.0896,Instituto Estadual de Florestas de Minas Gerais
ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 3.796-N de 28/12/1994,27/10/2011,0000.32.0334,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO GURURU,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 010- R de 07/10/2016,11/11/2016,0000.32.3457,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RESERVA EXTRATIVISTA ROXINHO,Reserva Extrativista,US,estadual,"1995",Decreto nº 7107 de 08/09/1995,01/03/2012,0000.11.0755,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 39399 de 22/01/1998,29/08/2012,0000.31.0405,Instituto Estadual de Florestas de Minas Gerais
PARQUE ESTADUAL DA LAGOA DO AÇU,Parque,PI,estadual,"2012",Decreto nº 43522 de 21/03/2012,04/02/2014,0000.33.2721,Instituto Estadual do Ambiente do Rio de Janeiro
PARQUE NATURAL MUNICIPAL MONTANHAS DE TERESóPOLIS,Parque,PI,municipal,"2009",Decreto nº 3693 de 16/07/2009,26/05/2010,0580.33.1895,Secretaria Municipal de Meio Ambiente e Defesa Civil de Teresópolis - RJ
RPPN RESERVA DO DADINHO,Reserva Particular do Patrimônio Natural,US,estadual,"2012",Resolução nº 54 de 03/07/2012,23/11/2012,0000.35.2795,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA IBITINGA,Área de Proteção Ambiental,US,estadual,"1987",Lei ordinária nº 5536 de 20/01/1987,15/02/2018,0000.35.1701,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SIRIEMA,Reserva Particular do Patrimônio Natural,US,federal,"2007",Portaria nº 35 de 12/04/2007,26/08/2011,0000.00.2189,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,Área de Proteção Ambiental,US,estadual,"1991",Decreto nº 11.901 de 11/06/1991,03/03/2011,0000.21.1885,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão
ESTAçãO ECOLóGICA DE SANTA MARIA,Estação Ecológica,PI,estadual,"1985",Decreto nº 23.792 de 14/08/1985,11/10/2017,0000.35.2697,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PANAPANÁ,Reserva Particular do Patrimônio Natural,US,estadual,"2009",Portaria nº 52 de 08/07/2009,11/10/2011,0000.33.2296,Instituto Estadual do Ambiente do Rio de Janeiro
RPPN ARMIL,Reserva Particular do Patrimônio Natural,US,federal,"2018",Portaria nº 195 de 14/03/2018,09/05/2018,0000.00.3665,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA EXTRATIVISTA MARINHA DE SOURE,Reserva Extrativista,US,federal,"2001",Decreto nº S/N de 23/11/2001,23/04/2010,0000.00.0254,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOSSA SENHORA APARECIDA,Reserva Particular do Patrimônio Natural,US,federal,"2008",Portaria nº 7 de 06/02/2008,26/08/2011,0000.00.2144,Instituto Chico Mendes de Conservação da Biodiversidade
AREA DE RELEVANTE INTERESSE ECOLÓGICO- ILHAS DO RIO PARAIBA DO SUL,Área de Relevante Interesse Ecológico,US,municipal,"2005",Decreto nº 4580/2005 de 14/06/2005,04/09/2008,0040.33.1631,Secretaria Municipal de Meio Ambiente e Desenvolvimento Sustentável de Barra Mansa - RJ
RESERVA EXTRATIVISTA ILHA DO TUMBA,Reserva Extrativista,US,estadual,"2008",Lei ordinária nº 12810 de 21/02/2008,30/09/2015,0000.35.1685,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
RESERVA EXTRATIVISTA DO GUARIBA,Reserva Extrativista,US,estadual,"2005",Decreto nº 25.040 de 02/06/2005,15/02/2016,0000.13.0992,Secretaria de Estado do Meio Ambiente do Amazonas
ÁREA DE PROTEÇÃO AMBIENTAL DE PRAIA MOLE,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 3802-N de 30/12/1994,17/06/2016,0000.32.0335,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEITO DE POMBA,Reserva Particular do Patrimônio Natural,US,estadual,"2016",Portaria nº 649 de 29/02/2016,21/06/2017,0000.33.3517,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL TARTARUGAS,Área de Proteção Ambiental,US,municipal,"2011",Decreto nº 3693 de 23/11/2011,24/07/2012,0040.32.2575,Secretaria de Meio Ambiente de Anchieta - ES
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO,Reserva Particular do Patrimônio Natural,US,federal,"2013",Portaria nº 176 de 28/03/2013,01/08/2014,0000.00.3093,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NATURAL MUNICIPAL DOS CORAIS DE ARMAÇÃO DOS BÚZIOS,Parque,PI,municipal,"2009",Decreto nº 135 de 13/11/2009,22/08/2018,0023.33.2050,Secretaria Municipal do Meio Ambiente e Pesca de Armação dos Búzios - RJ
PARQUE ESTADUAL DO PODOCARPUS,Parque,PI,estadual,"1975",Decreto nº 23.798 de 14/03/1975,04/05/2011,0000.43.2003,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
PARQUE NATURAL MUNICIPAL PENHASCO DOIS IRMãOS - ARQUITETO SéRGIO BERNARDES,Parque,PI,municipal,"1992",Decreto nº 11850 de 22/12/1992,29/12/2016,0455.33.1800,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PÉ DA LAJE,Reserva Particular do Patrimônio Natural,US,federal,"2001",Portaria nº 73 de 04/06/2001,26/08/2011,0000.00.1312,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NATURAL MUNICIPAL DO POMBO,Parque,PI,municipal,"2006",Decreto nº 105/2006 de 18/11/2006,07/10/2015,0830.50.2847,Secretaria Municipal de Meio Ambiente - Três Lagoas/MS
ÁREA DE PROTEçãO AMBIENTAL PAISAGEM CARIOCA,Área de Proteção Ambiental,US,municipal,"2013",Decreto nº 37.486 de 06/08/2013,23/01/2017,0455.33.2903,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.215 de 15/06/1993,23/07/2012,0000.29.0310,Secretaria do Meio Ambiente da Bahia
PARQUE ESTADUAL CHANDLESS,Parque,PI,estadual,"2004",Decreto nº 10.670 de 03/09/2004,22/03/2016,0000.12.0939,Secretaria de Estado de Meio Ambiente do Acre
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CATINGUEIRO,Reserva Particular do Patrimônio Natural,US,federal,"2013",Portaria nº 256 de 06/12/2013,01/08/2014,0000.00.3107,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA ESTADUAL DE DESENVOLVIMENTO SUSTENTÁVEL CONCHA D´OSTRA,Reserva de Desenvolvimento Sustentável,US,estadual,"2007",Lei ordinária nº 8464 de 27/02/2007,27/10/2011,0000.32.1832,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
PARQUE ESTADUAL DAS SETE PASSAGENS,Parque,PI,estadual,"2000",Decreto nº 7.808 de 25/05/2000,25/07/2012,0000.29.0297,Secretaria do Meio Ambiente da Bahia
REFúGIO DE VIDA SILVESTRE TABULEIRO DO EMBAUBAL,Refúgio de Vida Silvestre,PI,estadual,"2016",Decreto nº 1.566 de 20/06/2016,22/02/2017,0000.15.3478,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 0431 de 15/09/1998,27/08/2007,0000.16.0293,Secretaria de Estado do Meio Ambiente do Amapá
RESERVA EXTRATIVISTA ALTO JURUÁ,Reserva Extrativista,US,federal,"1990",Decreto nº nº 98.863 de 24/01/1990,22/10/2014,0000.00.1517,Instituto Chico Mendes de Conservação da Biodiversidade
