NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
PARQUE NACIONAL MARINHO DOS ABROLHOS,0000.00.0185,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"813173","0",Indefinido,,"15",O,"2013"
PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA,0000.00.0186,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"813173","0",Indefinido,,"15",O,"2013"
RESERVA BIOLÓGICA ATOL DAS ROCAS,0000.00.0203,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"813173","0",Indefinido,,"15",O,"2013"
RESERVA BIOLÓGICA DO TINGUÁ,0000.00.0212,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"934204","0",Indefinido,,"15",O,"2013"
RESERVA BIOLÓGICA MARINHA DO ARVOREDO,0000.00.0214,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"813173","0",Indefinido,,"15",O,"2013"
RESERVA BIOLÓGICA UNIÃO,0000.00.0217,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"934204","0",Indefinido,,"15",O,"2013"
ESTAÇÃO ECOLÓGICA DA GUANABARA,0000.00.0263,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"813173","0",Indefinido,,"15",O,"2013"
ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE,0000.29.0302,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DO RIO DOCE,0000.31.0394,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"500000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL SERRA DO PAPAGAIO,0000.31.0406,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"500000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DA SERRA DO MAR,0000.35.0798,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DA SERRA DO MAR,0000.35.0798,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DE CAMPOS DO JORDÃO,0000.35.0800,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
ESTAÇÃO ECOLÓGICA BANANAL,0000.35.0820,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL XIXOVÁ-JAPUÍ,0000.35.0833,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL XIXOVÁ-JAPUÍ,0000.35.0833,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS,0000.35.0834,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO,0000.35.0836,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DE ILHABELA,0000.35.0855,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DA ILHA ANCHIETA,0000.35.0856,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,0000.35.0862,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1000000","0",Indefinido,,"15",O,"2013"
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,0000.35.0862,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BREJO NOVO,0000.00.1297,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"50000","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DO DESENGANO,0000.33.1479,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"266667","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DOS TRÊS PICOS,0000.33.1485,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"266667","0",Indefinido,,"15",O,"2013"
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL,0000.00.1521,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"243333","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL CUNHAMBEBE,0000.33.1620,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"266667","0",Indefinido,,"15",O,"2013"
REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ,0000.00.1911,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"813173","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL RESTINGA DE BERTIOGA,0000.35.1964,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
PARQUE ESTADUAL DE ITABERABA,0000.35.1966,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"312500","0",Indefinido,,"15",O,"2013"
RESERVA BIOLóGICA DA SERRA GERAL,0000.43.2010,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"1250000","0",Indefinido,,"15",O,"2013"
PARQUE NATURAL MUNICIPAL DO JUQUERIQUERê,1050.35.2776,02001.008311/2012-84,SIST PRODUÇÃO GÁS E CONDENSADO MEXILHÃO B. SANTOS,PETROBRAS,"100000","0",Indefinido,,"15",O,"2013"
PARQUE NATURAL MUNICIPAL DOUTOR RUI CALAZANS DE ARAÚJO,3560.35.2836,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"100000","0",Indefinido,,"15",O,"2013"
RESERVA BIOLóGICA DE PINHEIRO GROSSO,0560.31.2953,02001.007904/2012-23,GASODUTO RJ - BH II (GASBEL II),NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"100000","0",Indefinido,,"15",O,"2013"
PARQUE NATURAL MUNICIPAL DE PORTO VELHO,0020.11.1818,02001.004861/2011-43,UHE Santo Antônio,SANTO ANTÔNIO ENERGIA S/A,"0","1000000",,Aquisição,"16",O,"2013"
FLORESTA NACIONAL DE SARACÁ-TAQUERA,0000.00.0109,02001.008710/2012-45,EXTRACAO DE BAUXITA NO PLATO BACABA,MINERAÇÃO RIO DO NORTE S.A,"0","23573",,Manejo,"16",O,"2013"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"100000","0",Indefinido,,"16",O,"2013"
ESTAÇÃO ECOLÓGICA TUPINAMBÁS,0000.00.0064,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"100000","0",Indefinido,,"16",O,"2013"
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,0000.00.0071,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"100000","0",Indefinido,,"16",O,"2013"
FLORESTA NACIONAL DE SÃO FRANCISCO,0000.00.0108,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"23573","0",,,"16",O,"2013"
FLORESTA NACIONAL DE SARACÁ-TAQUERA,0000.00.0109,02001.008710/2012-45,EXTRACAO DE BAUXITA NO PLATO BACABA,MINERAÇÃO RIO DO NORTE S.A,"23573","0",Manejo,,"16",O,"2013"
PARQUE NACIONAL RESTINGA DE JURUBATIBA,0000.00.0141,02070.000033/2008-17,"TESTE DE LONGA DURACAO(TLD) PARA O POCO 3-MLL-20D-RJS,ACUMULACAO DE JABUTI,CAMPO MARLIM LESTE",PETROBRAS,"50000","0",Indefinido,,"16",O,"2013"
PARQUE NACIONAL RESTINGA DE JURUBATIBA,0000.00.0141,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"100000","0",Indefinido,,"16",O,"2013"
RESERVA BIOLÓGICA DE COMBOIOS,0000.00.0195,02001.002977/2007-61,"Teste de Longa Duração na área do poço ESS - 132,  bloco BES 100, bacia do Espírito Santo.",PETROBRAS TRANSPORTE S/A (TRANSPETRO),"235000","0",Indefinido,,"16",O,"2013"
RESERVA BIOLÓGICA MARINHA DO ARVOREDO,0000.00.0214,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"100000","0",Indefinido,,"16",O,"2013"
PARQUE ESTADUAL DE ITAÚNAS,0000.32.0331,02001.002977/2007-61,"Teste de Longa Duração na área do poço ESS - 132,  bloco BES 100, bacia do Espírito Santo.",PETROBRAS TRANSPORTE S/A (TRANSPETRO),"50000","0",Indefinido,,"16",O,"2013"
PARQUE ESTADUAL PAULO CÉSAR VINHA,0000.32.0332,02001.002977/2007-61,"Teste de Longa Duração na área do poço ESS - 132,  bloco BES 100, bacia do Espírito Santo.",PETROBRAS TRANSPORTE S/A (TRANSPETRO),"50000","0",Indefinido,,"16",O,"2013"
PARQUE ESTADUAL DA SERRA DO MAR,0000.35.0798,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"171145","0",Indefinido,,"16",O,"2013"
PARQUE ESTADUAL XIXOVÁ-JAPUÍ,0000.35.0833,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"171145","0",Indefinido,,"16",O,"2013"
APA MARINHA DO LITORAL CENTRO,0000.35.1723,02001.004857/2011-85,DRAGAGEM DO PORTO DE SANTOS,COMPANHIA DOCAS DO ESTADO DE SÃO PAULO,"171145","0",Indefinido,,"16",O,"2013"
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA,0240.33.2028,02070.000033/2008-17,"TESTE DE LONGA DURACAO(TLD) PARA O POCO 3-MLL-20D-RJS,ACUMULACAO DE JABUTI,CAMPO MARLIM LESTE",PETROBRAS,"916000","0",Indefinido,,"16",O,"2013"
PARQUE NACIONAL DA SERRA DA CANASTRA,0000.00.0144,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"0","4895946",,Regularização,"17",O,"2013"
PARQUE NACIONAL DO ITATIAIA,0000.00.0184,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"0","4657374",,Regularização,"17",O,"2013"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"0","3753194",,Regularização,"17",O,"2013"
PARQUE NACIONAL DE JERICOACOARA,0000.00.0162,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"0","3110300",,Regularização,"17",O,"2013"
ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,0000.00.0008,02001.005701/2012-01,TERMINAL DE CONTEINERE DE PARANAGUA - TCP,TCP - TERMINAL DE CONTÊINERES DE PARANAGUÁ S/A,"0","870000",,Manejo,"17",O,"2013"
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,0000.00.0164,02001.005701/2012-01,TERMINAL DE CONTEINERE DE PARANAGUA - TCP,TCP - TERMINAL DE CONTÊINERES DE PARANAGUÁ S/A,"0","658000",,Regularização,"17",O,"2013"
RESERVA BIOLÓGICA DO TINGUÁ,0000.00.0212,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"0","600000",,Regularização,"17",O,"2013"
AREA DE PROTEÇÃO AMBIENTAL DA LAGOA VERDE,1560.43.1757,02001.002724/2007-98,BR-116 E BR-392 - PELOTAS /RS - RIO GRANDE/RS.,DNIT,"0","96770",,Manejo,"17",O,"2013"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"214286","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL RESTINGA DE JURUBATIBA,0000.00.0141,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"214286","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DA SERRA DA BOCAINA,0000.00.0142,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"8214286","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DA SERRA DA CANASTRA,0000.00.0144,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"6370069","0",Regularização,,"17",O,"2013"
PARQUE NACIONAL DA SERRA DA CAPIVARA,0000.00.0145,02001.001065/2013-11,LT COLINAS- SÃO JOÃO DO PIAUÍ,INTERLIGAÇÃO ELÉTRICA NORTE E NORDESTE S/A,"376082","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL SERRA DAS CONFUSÕES,0000.00.0146,02001.001065/2013-11,LT COLINAS- SÃO JOÃO DO PIAUÍ,INTERLIGAÇÃO ELÉTRICA NORTE E NORDESTE S/A,"376082","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DA SERRA DOS ORGÃOS,0000.00.0152,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"500000","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DA TIJUCA,0000.00.0154,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"600000","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DE ILHA GRANDE,0000.00.0161,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"266160","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DE ILHA GRANDE,0000.00.0161,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"1000000","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DE JERICOACOARA,0000.00.0162,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"3110300","0",Regularização,,"17",O,"2013"
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,0000.00.0164,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"214286","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DO SUPERAGUI,0000.00.0178,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"214286","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"3753194","0",Regularização,,"17",O,"2013"
PARQUE NACIONAL DO ITATIAIA,0000.00.0184,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"5257374","0",Regularização,,"17",O,"2013"
RESERVA BIOLÓGICA DE SOORETAMA,0000.00.0201,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"600000","0",Indefinido,,"17",O,"2013"
RESERVA BIOLÓGICA DO TINGUÁ,0000.00.0212,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"1200000","0",Regularização,,"17",O,"2013"
RESERVA BIOLÓGICA MARINHA DO ARVOREDO,0000.00.0214,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"214286","0",Indefinido,,"17",O,"2013"
ESTAÇÃO ECOLÓGICA DA GUANABARA,0000.00.0263,02070.000186/2008-64,SIST PROD PESQUISA RESERVATORIO MEMBRO SIRI CONCESSAO BADEJO B. CAMPOS FPSO PETROJARL RIO DAS OSTRAS,PETROBRAS,"214286","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DA CHAPADA DAS MESAS,0000.00.0272,02001.001065/2013-11,LT COLINAS- SÃO JOÃO DO PIAUÍ,INTERLIGAÇÃO ELÉTRICA NORTE E NORDESTE S/A,"376082","0",Indefinido,,"17",O,"2013"
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO AVENTUREIRO,0000.33.0723,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"1000000","0",Indefinido,,"17",O,"2013"
RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL,0000.33.0728,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"1000000","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL DA SERRA DO MAR,0000.35.0798,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"1000000","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL DA SERRA DO MAR,0000.35.0798,02001.004462/2007-04,UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO,PETROBRAS,"666667","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL XIXOVÁ-JAPUÍ,0000.35.0833,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"666667","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS,0000.35.0834,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"666667","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL DE ILHABELA,0000.35.0855,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"666667","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL DA ILHA ANCHIETA,0000.35.0856,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"666667","0",Indefinido,,"17",O,"2013"
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,0000.35.0862,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"666667","0",Indefinido,,"17",O,"2013"
PARQUE ESTADUAL DA SERRA DA TIRIRICA,0000.33.1476,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"1000000","0",Indefinido,,"17",O,"2013"
PARQUE NACIONAL DA SERRA DA BOCAINA,0000.00.0142,02001.001716/2012-91,Usina Nuclear de Angra III,ELETRONUCLEAR,"0","23178160",,Regularização,"18",O,"2013"
PARQUE NACIONAL DA LAGOA DO PEIXE,0000.00.0140,02001.002724/2007-98,BR-116 E BR-392 - PELOTAS /RS - RIO GRANDE/RS.,DNIT,"0","10536813",,Regularização,"18",O,"2013"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02001.001716/2012-91,Usina Nuclear de Angra III,ELETRONUCLEAR,"0","1384000",,Regularização,"18",O,"2013"
ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO,0000.35.0812,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"0","30000",,Aquisição,"18",O,"2013"
ESTAÇÃO ECOLÓGICA DE BAURU,0000.35.0909,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"0","30000",,Aquisição,"18",O,"2013"
FLORESTA NACIONAL DE SARACÁ-TAQUERA,0000.00.0109,02001.002435/2013-37,EXPLOTAÇÃO DE BAUXITA-PLATÔS BELA CRUZ.,MINERAÇÃO RIO DO NORTE S.A,"307140","0",Indefinido,,"18",O,"2013"
PARQUE NACIONAL DA LAGOA DO PEIXE,0000.00.0140,02001.003990/2007-38,SISTEMA DE PROD DE PETROLEO E GAS - C PARQUE DAS CONCHAS (BL BC-10) -  B DE CAMPOS,RAÍZEN COMBUSTÍVEIS SA,"9756814","0",Regularização,,"18",O,"2013"
PARQUE NACIONAL DA LAGOA DO PEIXE,0000.00.0140,02001.003990/2007-38,SISTEMA DE PROD DE PETROLEO E GAS - C PARQUE DAS CONCHAS (BL BC-10) -  B DE CAMPOS,RAÍZEN COMBUSTÍVEIS SA,"200000","0",Manejo,,"18",O,"2013"
PARQUE NACIONAL DA SERRA DA CANASTRA,0000.00.0144,02001.003990/2007-38,SISTEMA DE PROD DE PETROLEO E GAS - C PARQUE DAS CONCHAS (BL BC-10) -  B DE CAMPOS,RAÍZEN COMBUSTÍVEIS SA,"5252920","0",Regularização,,"18",O,"2013"
RESERVA BIOLÓGICA DO RIO TROMBETAS,0000.00.0210,02001.002435/2013-37,EXPLOTAÇÃO DE BAUXITA-PLATÔS BELA CRUZ.,MINERAÇÃO RIO DO NORTE S.A,"307140","0",Indefinido,,"18",O,"2013"
PARQUE ESTADUAL DE ITAÚNAS,0000.32.0331,02001.003990/2007-38,SISTEMA DE PROD DE PETROLEO E GAS - C PARQUE DAS CONCHAS (BL BC-10) -  B DE CAMPOS,RAÍZEN COMBUSTÍVEIS SA,"1250000","0",Indefinido,,"18",O,"2013"
PARQUE ESTADUAL PAULO CÉSAR VINHA,0000.32.0332,02001.003990/2007-38,SISTEMA DE PROD DE PETROLEO E GAS - C PARQUE DAS CONCHAS (BL BC-10) -  B DE CAMPOS,RAÍZEN COMBUSTÍVEIS SA,"1250000","0",Indefinido,,"18",O,"2013"
PARQUE ESTADUAL DE VASSUNUNGA,0000.35.0853,02001.001291/2012-11, LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,"30000","0",,Aquisição,"18",O,"2013"
PARQUE NACIONAL DA SERRA GERAL,0000.00.0153,02001.001414/2012-13,LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA,ELETROSUL CENTRAIS ELÉTRICAS S.A.,"0","305342",,Regularização,"19",O,"2013"
PARQUE NACIONAL DE APARADOS DA SERRA,0000.00.0158,02001.001414/2012-13,LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA,ELETROSUL CENTRAIS ELÉTRICAS S.A.,"0","305342",,Regularização,"19",O,"2013"
PARQUE ESTADUAL DE ÁGUAS QUENTES,0000.51.1467,02001.001290/2012-76,LINHA DE TRANSMISSÃO 500 KV CUIABÁ-RIBEIRÃOZINHO-RIO VERDE,CATXERE TRANSMISSORA DE ENERGIA S.A.,"0","200000",,Aquisição,"19",O,"2013"
PARQUE ESTADUAL PAU FURADO,0000.31.1770,02001.003037/2006-17,ADEQUACAO DA CAPACIDADE DA BR - 050 - TR. ENTRE UBERLÂNDIA E A DIVISA DOS ESTADOS DE MG E SP,DNIT,"0","47163",,Aquisição,"19",O,"2013"
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,0000.00.0054,02001.002928/2013-77,"TLD da produção de WAIMEA bloco BM-C-41, Bacia de Campos.",OGX PETRÓLEO E GÁS LTDA.,"499738","0",Indefinido,,"19",O,"2013"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02001.002928/2013-77,"TLD da produção de WAIMEA bloco BM-C-41, Bacia de Campos.",OGX PETRÓLEO E GÁS LTDA.,"499738","0",Indefinido,,"19",O,"2013"
