NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
PARQUE NATURAL MUNICIPAL DO PAMPA,0160.43.3138,02001.002630/2014-48,UTE PAMPA,PETROBRAS,"1000000","0",Indefinido,,"47",O,"2016"
PARQUE NATURAL MUNICIPAL VEREDAS DOS CARAJáS,0215.15.3163,02001.006782/2015-09,"LT em CC ±800 kV Xingu - Estreito Estação Conversora CA/CC, ±800 kV, 4.000 MW, junto à SE 500 kV Xi",BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,"100000","0",,Aquisição,"47",O,"2016"
RESERVA BIOLÓGICA DAS ARAUCÁRIAS,0000.00.0276,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","14359850",,Regularização,"48",O,"2016"
PARQUE NACIONAL DE SÃO JOAQUIM,0000.00.0165,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","12814177",,Regularização,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE MATA PRETA,0000.00.0261,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","10497193",,Regularização,"48",O,"2016"
PARQUE NACIONAL DA SERRA DA BOCAINA,0000.00.0142,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","5000000",,Regularização,"48",O,"2016"
PARQUE NACIONAL DA SERRA DAS LONTRAS,0000.00.1909,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","4000000",,Regularização,"48",O,"2016"
PARQUE NACIONAL RESTINGA DE JURUBATIBA,0000.00.0141,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","3454422",,Regularização,"48",O,"2016"
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,0000.00.0164,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","3000000",,Regularização,"48",O,"2016"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","3000000",,Regularização,"48",O,"2016"
RESERVA BIOLÓGICA DO TINGUÁ,0000.00.0212,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","3000000",,Regularização,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DO TAIM,0000.00.0070,02001.001092/2016-36,ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL,PETROBRAS,"0","2000000",,Regularização,"48",O,"2016"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","2000000",,Regularização,"48",O,"2016"
PARQUE ESTADUAL DO UTINGA,0000.15.1022,02001.002029/2014-55,Projeto Ferro Carajás S11D,VALE S.A.,"0","1750000",,Regularização,"48",O,"2016"
